Timestep,ResponderID,X,Y,Active,RescuedCount
339,6,14,24,True,0
339,7,27,24,True,0
340,6,14,24,True,0
340,7,27,24,True,0
341,6,14,24,True,0
341,7,27,24,True,0
342,6,14,24,True,0
342,7,27,24,True,0
343,6,14,24,True,0
343,7,27,24,True,0
344,6,14,24,True,0
344,7,27,24,True,0
345,6,14,24,True,0
345,7,27,24,True,0
346,6,14,24,True,0
346,7,27,24,True,0
347,6,14,24,True,0
347,7,27,24,True,0
348,6,14,24,True,0
348,7,27,24,True,0
349,6,14,24,True,0
349,7,27,24,True,0
350,6,14,24,True,0
350,7,27,24,True,0
351,6,14,24,True,0
351,7,27,24,True,0
352,6,14,24,True,0
352,7,27,24,True,0
353,6,14,24,True,0
353,7,27,24,True,0
354,6,14,24,True,0
354,7,27,24,True,0
355,6,14,24,True,0
355,7,27,24,True,0
356,6,14,24,True,0
356,7,27,24,True,0
357,6,14,24,True,0
357,7,27,24,True,0
358,6,14,24,True,0
358,7,27,24,True,0
359,6,14,24,True,0
359,7,27,24,True,0
360,6,14,24,True,0
360,7,27,24,True,0
361,6,14,24,True,0
361,7,27,24,True,0
362,6,14,24,True,0
362,7,27,24,True,0
363,6,14,24,True,0
363,7,27,24,True,0
364,6,14,24,True,0
364,7,27,24,True,0
365,6,14,24,True,0
365,7,27,24,True,0
366,6,14,24,True,0
366,7,27,24,True,0
367,6,14,24,True,0
367,7,27,24,True,0
368,6,14,24,True,0
368,7,27,24,True,0
369,6,14,24,True,0
369,7,27,24,True,0
370,6,14,24,True,0
370,7,27,24,True,0
371,6,14,24,True,0
371,7,27,24,True,0
372,6,14,24,True,0
372,7,27,24,True,0
373,6,14,24,True,0
373,7,27,24,True,0
374,6,14,24,True,0
374,7,27,24,True,0
375,6,14,24,True,0
375,7,27,24,True,0
376,6,14,24,True,0
376,7,27,24,True,0
377,6,14,24,True,0
377,7,27,24,True,0
378,6,14,24,True,0
378,7,27,24,True,0
379,6,14,24,True,0
379,7,27,24,True,0
380,6,14,24,True,0
380,7,27,24,True,0
381,6,14,24,True,0
381,7,27,24,True,0
382,6,14,24,True,0
382,7,27,24,True,0
383,6,14,24,True,0
383,7,27,24,True,0
384,6,14,24,True,0
384,7,27,24,True,0
385,6,14,24,True,0
385,7,27,24,True,0
386,6,14,24,True,0
386,7,27,24,True,0
387,6,14,24,True,0
387,7,27,24,True,0
388,6,14,24,True,0
388,7,27,24,True,0
389,6,14,24,True,0
389,7,27,24,True,0
390,6,14,24,True,0
390,7,27,24,True,0
391,6,14,24,True,0
391,7,27,24,True,0
392,6,14,24,True,0
392,7,27,24,True,0
393,6,14,24,True,0
393,7,27,24,True,0
394,6,14,24,True,0
394,7,27,24,True,0
395,6,14,24,True,0
395,7,27,24,True,0
396,6,14,24,True,0
396,7,27,24,True,0
397,6,14,24,True,0
397,7,27,24,True,0
398,6,14,24,True,0
398,7,27,24,True,0
399,6,14,24,True,0
399,7,27,24,True,0
400,6,14,24,True,0
400,7,27,24,True,0
401,6,14,24,True,0
401,7,27,24,True,0
402,6,14,24,True,0
402,7,27,24,True,0
403,6,14,24,True,0
403,7,27,24,True,0
404,6,14,24,True,0
404,7,27,24,True,0
405,6,14,24,True,0
405,7,27,24,True,0
406,6,14,24,True,0
406,7,27,24,True,0
407,6,14,24,True,0
407,7,27,24,True,0
408,6,14,24,True,0
408,7,27,24,True,0
409,6,14,24,True,0
409,7,27,24,True,0
410,6,14,24,True,0
410,7,27,24,True,0
411,6,14,24,True,0
411,7,27,24,True,0
412,6,14,24,True,0
412,7,27,24,True,0
413,6,14,24,True,0
413,7,27,24,True,0
414,6,14,24,True,0
414,7,27,24,True,0
415,6,14,24,True,0
415,7,27,24,True,0
416,6,14,24,True,0
416,7,27,24,True,0
417,6,14,24,True,0
417,7,27,24,True,0
418,6,14,24,True,0
418,7,27,24,True,0
419,6,14,24,True,0
419,7,27,24,True,0
420,6,14,24,True,0
420,7,27,24,True,0
421,6,14,24,True,0
421,7,27,24,True,0
422,6,14,24,True,0
422,7,27,24,True,0
423,6,14,24,True,0
423,7,27,24,True,0
424,6,14,24,True,0
424,7,27,24,True,0
425,6,14,24,True,0
425,7,27,24,True,0
426,6,14,24,True,0
426,7,27,24,True,0
427,6,14,24,True,0
427,7,27,24,True,0
428,6,14,24,True,0
428,7,27,24,True,0
429,6,14,24,True,0
429,7,27,24,True,0
430,6,14,24,True,0
430,7,27,24,True,0
431,6,14,24,True,0
431,7,27,24,True,0
432,6,14,24,True,0
432,7,27,24,True,0
433,6,14,24,True,0
433,7,27,24,True,0
434,6,14,24,True,0
434,7,27,24,True,0
435,6,14,24,True,0
435,7,27,24,True,0
436,6,14,24,True,0
436,7,27,24,True,0
437,6,14,24,True,0
437,7,27,24,True,0
438,6,14,24,True,0
438,7,27,24,True,0
439,6,14,24,True,0
439,7,27,24,True,0
440,6,14,24,True,0
440,7,27,24,True,0
441,6,14,24,True,0
441,7,27,24,True,0
442,6,14,24,True,0
442,7,27,24,True,0
443,6,14,24,True,0
443,7,27,24,True,0
444,6,14,24,True,0
444,7,27,24,True,0
445,6,14,24,True,0
445,7,27,24,True,0
446,6,14,24,True,0
446,7,27,24,True,0
447,6,14,24,True,0
447,7,27,24,True,0
448,6,14,24,True,0
448,7,27,24,True,0
449,6,14,24,True,0
449,7,27,24,True,0
450,6,14,24,True,0
450,7,27,24,True,0
451,6,14,24,True,0
451,7,27,24,True,0
452,6,14,24,True,0
452,7,27,24,True,0
453,6,14,24,True,0
453,7,27,24,True,0
454,6,14,24,True,0
454,7,27,24,True,0
455,6,14,24,True,0
455,7,27,24,True,0
456,6,14,24,True,0
456,7,27,24,True,0
457,6,14,24,True,0
457,7,27,24,True,0
458,6,14,24,True,0
458,7,27,24,True,0
459,6,14,24,True,0
459,7,27,24,True,0
460,6,14,24,True,0
460,7,27,24,True,0
461,6,14,24,True,0
461,7,27,24,True,0
462,6,14,24,True,0
462,7,27,24,True,0
463,6,14,24,True,0
463,7,27,24,True,0
464,6,14,24,True,0
464,7,27,24,True,0
465,6,14,24,True,0
465,7,27,24,True,0
466,6,14,24,True,0
466,7,27,24,True,0
467,6,14,24,True,0
467,7,27,24,True,0
468,6,14,24,True,0
468,7,27,24,True,0
469,6,14,24,True,0
469,7,27,24,True,0
470,6,14,24,True,0
470,7,27,24,True,0
471,6,14,24,True,0
471,7,27,24,True,0
472,6,14,24,True,0
472,7,27,24,True,0
473,6,14,24,True,0
473,7,27,24,True,0
474,6,14,24,True,0
474,7,27,24,True,0
475,6,14,24,True,0
475,7,27,24,True,0
476,6,14,24,True,0
476,7,27,24,True,0
477,6,14,24,True,0
477,7,27,24,True,0
478,6,14,24,True,0
478,7,27,24,True,0
479,6,14,24,True,0
479,7,27,24,True,0
480,6,14,24,True,0
480,7,27,24,True,0
481,6,14,24,True,0
481,7,27,24,True,0
482,6,14,24,True,0
482,7,27,24,True,0
483,6,14,24,True,0
483,7,27,24,True,0
484,6,14,24,True,0
484,7,27,24,True,0
485,6,14,24,True,0
485,7,27,24,True,0
486,6,14,24,True,0
486,7,27,24,True,0
487,6,14,24,True,0
487,7,27,24,True,0
488,6,14,24,True,0
488,7,27,24,True,0
489,6,14,24,True,0
489,7,27,24,True,0
490,6,14,24,True,0
490,7,27,24,True,0
491,6,14,24,True,0
491,7,27,24,True,0
492,6,14,24,True,0
492,7,27,24,True,0
493,6,14,24,True,0
493,7,27,24,True,0
494,6,14,24,True,0
494,7,27,24,True,0
495,6,14,24,True,0
495,7,27,24,True,0
496,6,14,24,True,0
496,7,27,24,True,0
497,6,14,24,True,0
497,7,27,24,True,0
498,6,14,24,True,0
498,7,27,24,True,0
499,6,14,24,True,0
499,7,27,24,True,0
500,6,14,24,True,0
500,7,27,24,True,0
