Timestep,EvacueeID,X,Y,Active,Evacuated,Rescued,Stuck
116,1,27,19,True,False,False,False
116,2,44,25,False,True,True,False
116,3,12,31,True,False,False,False
116,4,27,31,True,False,False,False
116,5,42,31,True,False,False,False
117,0,5,25,False,True,True,False
117,1,27,19,True,False,False,False
117,2,44,25,False,True,True,False
117,3,12,31,True,False,False,False
117,4,27,31,True,False,False,False
117,5,42,31,True,False,False,False
118,0,5,25,False,True,True,False
118,1,27,19,True,False,False,False
118,2,44,25,False,True,True,False
118,3,12,31,True,False,False,False
118,4,27,31,True,False,False,False
118,5,42,31,True,False,False,False
119,0,5,25,False,True,True,False
119,1,27,19,True,False,False,False
119,2,44,25,False,True,True,False
119,3,12,31,True,False,False,False
119,4,27,31,True,False,False,False
119,5,42,31,True,False,False,False
120,0,5,25,False,True,True,False
120,1,27,19,True,False,False,False
120,2,44,25,False,True,True,False
120,3,12,31,True,False,False,False
120,4,27,31,True,False,False,False
120,5,42,31,True,False,False,False
121,0,5,25,False,True,True,False
121,1,27,19,True,False,False,False
121,2,44,25,False,True,True,False
121,3,12,31,True,False,False,False
121,4,27,31,True,False,False,False
121,5,42,31,True,False,False,False
122,0,5,25,False,True,True,False
122,1,27,19,True,False,False,False
122,2,44,25,False,True,True,False
122,3,12,31,True,False,False,False
122,4,27,31,True,False,False,False
122,5,42,31,True,False,False,False
123,0,5,25,False,True,True,False
123,1,27,19,True,False,False,False
123,2,44,25,False,True,True,False
123,3,12,31,True,False,False,False
123,4,27,31,True,False,False,False
123,5,42,31,True,False,False,False
124,0,5,25,False,True,True,False
124,1,27,19,True,False,False,False
124,2,44,25,False,True,True,False
124,3,12,31,True,False,False,False
124,4,27,31,True,False,False,False
124,5,42,31,True,False,False,False
125,0,5,25,False,True,True,False
125,1,27,19,True,False,False,False
125,2,44,25,False,True,True,False
125,3,12,31,True,False,False,False
125,4,27,31,True,False,False,False
125,5,42,31,True,False,False,False
126,0,5,25,False,True,True,False
126,1,27,19,True,False,False,False
126,2,44,25,False,True,True,False
126,3,12,31,True,False,False,False
126,4,27,31,True,False,False,False
126,5,42,31,True,False,False,False
127,0,5,25,False,True,True,False
127,1,27,19,True,False,False,False
127,2,44,25,False,True,True,False
127,3,12,31,True,False,False,False
127,4,27,31,True,False,False,False
127,5,42,31,True,False,False,False
128,0,5,25,False,True,True,False
128,1,27,19,True,False,False,False
128,2,44,25,False,True,True,False
128,3,12,31,True,False,False,False
128,4,27,31,True,False,False,False
128,5,42,31,True,False,False,False
129,0,5,25,False,True,True,False
129,1,27,19,True,False,False,False
129,2,44,25,False,True,True,False
129,3,12,31,True,False,False,False
129,4,27,31,True,False,False,False
129,5,42,31,True,False,False,False
130,0,5,25,False,True,True,False
130,1,27,19,True,False,False,False
130,2,44,25,False,True,True,False
130,3,12,31,True,False,False,False
130,4,27,31,True,False,False,False
130,5,42,31,True,False,False,False
131,0,5,25,False,True,True,False
131,1,27,19,True,False,False,False
131,2,44,25,False,True,True,False
131,3,12,31,True,False,False,False
131,4,27,31,True,False,False,False
131,5,42,31,True,False,False,False
132,0,5,25,False,True,True,False
132,1,27,19,True,False,False,False
132,2,44,25,False,True,True,False
132,3,12,31,True,False,False,False
132,4,27,31,True,False,False,False
132,5,42,31,True,False,False,False
133,0,5,25,False,True,True,False
133,1,27,19,True,False,False,False
133,2,44,25,False,True,True,False
133,3,12,31,True,False,False,False
133,4,27,31,True,False,False,False
133,5,42,31,True,False,False,False
134,0,5,25,False,True,True,False
134,1,27,19,True,False,False,False
